Date	Total volume
9/24/2016	166
9/25/2016	115
9/26/2016	136
9/27/2016	131
9/28/2016	121
9/29/2016	109
9/30/2016	136
10/1/2016	157
10/2/2016	153
10/3/2016	171
10/4/2016	159
10/5/2016	182
10/6/2016	149
10/7/2016	117
10/8/2016	131
10/9/2016	136
10/10/2016	133
10/11/2016	129
10/12/2016	146
10/13/2016	137
10/14/2016	124
10/15/2016	146
10/16/2016	103
10/17/2016	123
10/18/2016	127
10/19/2016	123
10/20/2016	141
10/21/2016	111
10/22/2016	172
10/23/2016	117
10/24/2016	119
10/25/2016	109
10/26/2016	136
10/27/2016	161
10/28/2016	125
10/29/2016	161
10/30/2016	119
10/31/2016	127
11/1/2016	126
11/2/2016	121
11/3/2016	145
11/4/2016	139
11/5/2016	126
11/6/2016	141
11/7/2016	99
11/8/2016	113
11/9/2016	109
11/10/2016	175
11/11/2016	131
11/12/2016	151
11/13/2016	161
11/14/2016	158
11/15/2016	167
11/16/2016	125
11/17/2016	145
11/18/2016	194
11/19/2016	179
11/20/2016	119
11/21/2016	131
11/22/2016	129
11/23/2016	142
11/24/2016	11
11/25/2016	107
11/26/2016	143
11/27/2016	162
11/28/2016	173
11/29/2016	152
11/30/2016	154
12/1/2016	151
12/2/2016	162
12/3/2016	157
12/4/2016	138
12/5/2016	125
12/6/2016	138
12/7/2016	112
12/8/2016	106
12/9/2016	148
12/10/2016	164
12/11/2016	111
12/12/2016	132
12/13/2016	123
12/14/2016	153
12/15/2016	100
12/16/2016	158
12/17/2016	114
12/18/2016	104
12/19/2016	153
12/20/2016	144
12/21/2016	137
12/22/2016	154
12/23/2016	146
12/24/2016	110
12/25/2016	0
12/26/2016	97
12/27/2016	158
12/28/2016	138
12/29/2016	157
12/30/2016	142
12/31/2016	153
1/1/2017	79
1/2/2017	113
1/3/2017	121
1/4/2017	138
1/5/2017	123
1/6/2017	126
1/7/2017	138
1/8/2017	112
1/9/2017	120
1/10/2017	126
1/11/2017	105
1/12/2017	136
1/13/2017	170
1/14/2017	147
1/15/2017	113
1/16/2017	144
1/17/2017	123
1/18/2017	140
1/19/2017	215
1/20/2017	120
1/21/2017	166
1/22/2017	115
1/23/2017	121
1/24/2017	118
1/25/2017	121
1/26/2017	131
1/27/2017	132
1/28/2017	174
1/29/2017	112
1/30/2017	142
1/31/2017	150
2/1/2017	146
2/2/2017	125
2/3/2017	121
2/4/2017	166
2/5/2017	115
2/6/2017	121
2/7/2017	114
2/8/2017	116
2/9/2017	132
2/10/2017	145
2/11/2017	153
2/12/2017	126
2/13/2017	109
2/14/2017	109
2/15/2017	105
2/16/2017	117
2/17/2017	137
2/18/2017	154
2/19/2017	118
2/20/2017	120
2/21/2017	144
2/22/2017	154
2/23/2017	153
2/24/2017	155
2/25/2017	171
2/26/2017	150
2/27/2017	162
2/28/2017	148
3/1/2017	123
3/2/2017	162
3/3/2017	176
3/4/2017	162
3/5/2017	168
3/6/2017	143
3/7/2017	132
3/8/2017	156
3/9/2017	130
3/10/2017	149
3/11/2017	161
3/12/2017	115
3/13/2017	150
3/14/2017	93
3/15/2017	136
3/16/2017	145
3/17/2017	145
3/18/2017	136
3/19/2017	132
3/20/2017	137
3/21/2017	145
3/22/2017	114
3/23/2017	132
3/24/2017	180
3/25/2017	162
3/26/2017	142
3/27/2017	130
3/28/2017	134
3/29/2017	114
3/30/2017	141
3/31/2017	150
4/1/2017	158
4/2/2017	149
4/3/2017	176
4/4/2017	140
4/5/2017	138
4/6/2017	132
4/7/2017	163
4/8/2017	161
4/9/2017	89
4/10/2017	130
4/11/2017	109
4/12/2017	140
4/13/2017	104
4/14/2017	143
4/15/2017	156
4/16/2017	1
4/17/2017	108
4/18/2017	145
4/19/2017	111
4/20/2017	103
4/21/2017	109
4/22/2017	132
4/23/2017	110
4/24/2017	123
4/25/2017	107
4/26/2017	117
4/27/2017	104
4/28/2017	138
4/29/2017	121
4/30/2017	137
5/1/2017	130
5/2/2017	134
5/3/2017	134
5/4/2017	109
5/5/2017	129
