Date	Total volume	Day	Month	Quarter	Year	YearQTR
9/24/2016	166	Saturday	9	Q3	2016	201603
9/25/2016	115	Sunday	9	Q3	2016	201603
9/26/2016	136	Monday	9	Q3	2016	201603
9/27/2016	131	Tuesday	9	Q3	2016	201603
9/28/2016	121	Wednesday	9	Q3	2016	201603
9/29/2016	109	Thursday	9	Q3	2016	201603
9/30/2016	136	Friday	9	Q3	2016	201603
10/1/2016	157	Saturday	10	Q4	2016	201604
10/2/2016	153	Sunday	10	Q4	2016	201604
10/3/2016	171	Monday	10	Q4	2016	201604
10/4/2016	159	Tuesday	10	Q4	2016	201604
10/5/2016	182	Wednesday	10	Q4	2016	201604
10/6/2016	149	Thursday	10	Q4	2016	201604
10/7/2016	117	Friday	10	Q4	2016	201604
10/8/2016	131	Saturday	10	Q4	2016	201604
10/9/2016	136	Sunday	10	Q4	2016	201604
10/10/2016	133	Monday	10	Q4	2016	201604
10/11/2016	129	Tuesday	10	Q4	2016	201604
10/12/2016	146	Wednesday	10	Q4	2016	201604
10/13/2016	137	Thursday	10	Q4	2016	201604
10/14/2016	124	Friday	10	Q4	2016	201604
10/15/2016	146	Saturday	10	Q4	2016	201604
10/16/2016	103	Sunday	10	Q4	2016	201604
10/17/2016	123	Monday	10	Q4	2016	201604
10/18/2016	127	Tuesday	10	Q4	2016	201604
10/19/2016	123	Wednesday	10	Q4	2016	201604
10/20/2016	141	Thursday	10	Q4	2016	201604
10/21/2016	111	Friday	10	Q4	2016	201604
10/22/2016	172	Saturday	10	Q4	2016	201604
10/23/2016	117	Sunday	10	Q4	2016	201604
10/24/2016	119	Monday	10	Q4	2016	201604
10/25/2016	109	Tuesday	10	Q4	2016	201604
10/26/2016	136	Wednesday	10	Q4	2016	201604
10/27/2016	161	Thursday	10	Q4	2016	201604
10/28/2016	125	Friday	10	Q4	2016	201604
10/29/2016	161	Saturday	10	Q4	2016	201604
10/30/2016	119	Sunday	10	Q4	2016	201604
10/31/2016	127	Monday	10	Q4	2016	201604
11/1/2016	126	Tuesday	11	Q4	2016	201604
11/2/2016	121	Wednesday	11	Q4	2016	201604
11/3/2016	145	Thursday	11	Q4	2016	201604
11/4/2016	139	Friday	11	Q4	2016	201604
11/5/2016	126	Saturday	11	Q4	2016	201604
11/6/2016	141	Sunday	11	Q4	2016	201604
11/7/2016	99	Monday	11	Q4	2016	201604
11/8/2016	113	Tuesday	11	Q4	2016	201604
11/9/2016	109	Wednesday	11	Q4	2016	201604
11/10/2016	175	Thursday	11	Q4	2016	201604
11/11/2016	131	Friday	11	Q4	2016	201604
11/12/2016	151	Saturday	11	Q4	2016	201604
11/13/2016	161	Sunday	11	Q4	2016	201604
11/14/2016	158	Monday	11	Q4	2016	201604
11/15/2016	167	Tuesday	11	Q4	2016	201604
11/16/2016	125	Wednesday	11	Q4	2016	201604
11/17/2016	145	Thursday	11	Q4	2016	201604
11/18/2016	194	Friday	11	Q4	2016	201604
11/19/2016	179	Saturday	11	Q4	2016	201604
11/20/2016	119	Sunday	11	Q4	2016	201604
11/21/2016	131	Monday	11	Q4	2016	201604
11/22/2016	129	Tuesday	11	Q4	2016	201604
11/23/2016	142	Wednesday	11	Q4	2016	201604
11/24/2016	11	Thursday	11	Q4	2016	201604
11/25/2016	107	Friday	11	Q4	2016	201604
